AleFunCCMP1719,2932
AleMonCCMP3105,311494
AleTarCCMP1771,2926
AleMarAMGDE01CS322,109239
AleCatOF101,2925
AleAndCCMP2222,327968
KarBre,156230
TogJolCCCM725,285029
AmpCarCCMP1314,2961
AmpMasCS259,160604
ProRetCCCM535,133427
DurBalCSIROCS38,400756
GonSpiCCMP409,66791
DinAcu,47934
CerFusPA161109,2916
CryCohSeligo,2866
GamAus,439317
PyrBah,73915
GymCat,39447
HetTri,66468
HetRotSCCAPK0483,89963
GleFolCCAP11163,160619
KryFolCCMP1326,160619
PerAciPAER2,268820
ScrHanSHHI4,447022
ScrHanSHTV5,268821
ScrTroCCMP3099,71861
AzaSpi3D9,632150
ProMinCCMP2233,39449
KarMicCCMP2283,407301
LinPolCCMP1738,160621
PelBei,43686
NepSpe,2544991
CarCio,476202
PlaFalIT,5833
PlaAdlG01,880535
PlaBilG01,720590
PlaBlaG01,880536
PlaBerANKA,5823
PlaChaChabaudi,31271
PlaCoaHackeri,208452
PlaCynM,1274352
PlaFraNilgiri,5857
PlaGabG01,647221
PlaGal8A,5849
PlaGonATCC30045,77519
PlaInuSanAntonio1,1237626
PlaKnoMalayanPk1,5850
PlaMalUG01,5858
PlaOvaCurtisiGH01,864141
PlaPraG01,880534
PlaReiCDC,5854
PlaRelSGS1like,85471
PlaSpeGorillaG2,880535
PlaVinVinckei,54757
PlaVivP01,5855
PlaVilPvl01,27990
PlaYoeYoelii17X,352914
BabBigBond,5866
BabDiv1802A,32595
BabOvaMiyake,189622
BabMicRI,1133968
BabSpeXinjiang,462227
BabBovT2Bo,484906
CytFelWinnie,27996
TheOriShintoku,869250
TheEquWA,1537102
TheParMuguga,333668
ThaAnnAnkara,353154
MonAgi,110316
LecTuz,198479
PteSch,340200
GreNip,110365
CepComWS2016,947086
LanAbb,340204
PolSpeWS2016,2600141
AncSagWS2016,1892433
HelCap,947090
SieNemWS1WS2_1,2107685
SelPygWS2016,2108191
CryParIOWAATCC,414452
CryTyzUGA55,756076
CryHomTU502,353151
CryAnd30847,117008
CryUbi39726,857276
CryMelUKMEL1,93969
CryMurRN66,441375
CryBaiTAMU09Q1,27987
CrySpeChipmunkI,1603071
ToxGonME49,508771
EleDub,2600145
RhySp1WS2016,2600139
HamHamHH34,99158
NeoCanLiverpool,572307
CycCayNF1C8,88456
Cys_WienI,483139
SarNeuSN3,42890
EimAce,5801
EimBruHougton,51314
EImFalBayerHaberkorn1970,84963
EimMaxWeybridge,5804
EimMitHoughton,44415
EimNecHoughton,51315
EimPraeHoughton,51316
EimTenHoughton,413949
BesBesBbGer1,94643
AlvSpeCCMP3155,348535
ColAng,1541798
AlpEda,2605704
ChrVelCCMP2878,1169474
Sym_XWS2016,2600146
PirSoc,2570542
VitBraCCMP3155,1169540
PlaSpe,2570540
PltViv,2795092
VorPon,333133
DigOweWS12,2598973
ParTetD42,412030
TetThe,5911
TetBor,5893
TetEll,5897
TetMal,5901
IchMulG5,857967
PsePer36N120E,266149
HalGra,5974
StrInc,197538
StrSul,394800
StrRasRas09,1082188
StrAcuSPMC142,141414
StrSpe,181622
StyLem,5949
OxyTri,1172189
SteCoe,5963
PlaMac,938130
ProAdhBoc,223996
BleJapR1072,5961
MesPulSPMC105,283647
MyrRubCCMP2563,704171
LitPic,665100
BalCte,909204
TiaFus,693140
EupFocTN1,36767
EupHar,151035
FavTarFeNarragansettBay,626734
FavEhrFehren1,182087
Pse_Brazil,311385
FabSal,342563
CliVirW24,49980
EupCraCT5,5936
ConMagCOL2,40633
Ari_ATCC50986,485358
LoxSpe,6008
ColVieColp7a,1492817
ColSpeColp10,2717461
ParGloRCC365,552666
LotGloLEX01,91324
Lot_CCMP622,641309
LotAmoCCMP2058,1561963
Gym_CCMP2014,629695
NorSphBC52,91329
BigNatCCMP2755,753081
BigLonCCMP242,552665
ChlRep,29199
GutVulBF0784,1144923
AurSolAF21,350847
PauChr,39717
MatSpe,1004929
AboPro,2315904
BreSpeRG2016a,1885055
PlaBraE3,37360
SpoSub,70186
LepVor,1108494
GroSph,904385
MikMac,195010
LapGus,2072850
RetFil,46433
AmmSpe,43993
SorSpe,126664
ElpMar,933848
RosSpe,37353
GloSpeGF15,2058621
StiZan,1054997
LitSet,1054399
